opeid,stateabv,state,county,city,name,address,zipcode,zipext,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,congdis,region,averageorgreaterthan30,year2,num2,denom2,drate2,prate2,year3,num3,denom3,drate3,prate3,lat,lng,population,density,military,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3818,WV,West Virginia,Kanawha,Charleston,UNIVERSITY OF CHARLESTON                                         ,2300 MACCORKLE AVENUE SOUTHEAST                   ,25304,1099,8,2,2016,49,600,8.1,A,5,2,3,0,2015,51.0,621.0,8.2,A,2014,57.0,690.0,8.2,A,38.3484,-81.6323,142858.0,587.0,False,41.2,48.9,51.1,39.8,2.88,45797.0,21.6,56.7,148446.0,745.0,38.6,59.4,6.3,78.0,14.8,2.1,0.1,0.0,0.4,4.7
3819,WV,West Virginia,Wood,Vienna,OHIO VALLEY UNIVERSITY                                           ,1 CAMPUS VIEW DRIVE                               ,26105,8000,8,2,2016,13,156,8.3,A,5,1,3,0,2015,14.0,161.0,8.6,A,2014,19.0,159.0,11.9,A,39.3238,-81.5383,10370.0,1014.0,False,43.0,47.3,52.7,55.2,2.79,45575.0,17.7,75.8,127234.0,618.0,31.5,57.3,4.2,95.5,1.0,2.0,0.0,0.0,0.1,1.5
3820,WV,West Virginia,Harrison,Salem,SALEM UNIVERSITY                                                 ,223 WEST MAIN STREET                              ,26426,500,8,3,2016,77,452,17.0,A,5,1,3,0,2015,93.0,516.0,18.0,A,2014,112.0,641.0,17.4,A,39.2849,-80.5645,1492.0,430.0,False,31.7,53.7,46.3,35.3,3.0,39450.0,8.7,73.6,65854.0,436.0,20.6,52.9,6.9,89.5,6.8,0.2,0.0,0.0,0.7,2.8
3823,WV,West Virginia,Ohio,West Liberty,WEST LIBERTY UNIVERSITY                                          ,208 UNIVERSITY DRIVE               WEST LIBERTY UN,26074,295,8,1,2016,70,737,9.4,A,5,1,3,0,2015,66.0,742.0,8.8,A,2014,69.0,765.0,9.0,A,40.1647,-80.5972,1463.0,517.0,False,21.1,43.6,56.4,12.7,2.92,50000.0,7.6,50.4,106747.0,451.0,29.6,58.9,12.8,90.0,4.4,2.0,0.7,0.0,0.0,2.9
3827,WV,West Virginia,Monongalia,Morgantown,WEST VIRGINIA UNIVERSITY                                         ,UNIVERSITY AVENUE                  PO BOX 6201    ,26506,6201,8,1,2016,563,7023,8.0,P,5,1,3,0,2015,633.0,7427.0,8.5,P,2014,585.0,7017.0,8.3,P,39.6379,-79.9468,72453.0,1181.0,False,24.1,55.5,44.5,24.4,2.95,37900.0,19.5,43.3,182884.0,820.0,49.5,54.3,9.1,86.7,5.3,4.5,0.2,0.0,0.9,2.3
3828,WV,West Virginia,Wood,Parkersburg,WEST VIRGINIA UNIVERSITY - PARKERSBURG                           ,300 CAMPUS DRIVE                                  ,26101,9577,6,1,2016,119,719,16.5,A,5,1,3,0,2015,160.0,839.0,19.0,A,2014,252.0,1057.0,23.8,A,39.2624,-81.5419,64253.0,987.0,False,41.9,47.0,53.0,42.4,3.0,36414.0,9.6,61.0,87448.0,562.0,17.0,53.4,8.0,94.3,2.1,0.3,0.2,0.1,0.3,2.7
3830,WV,West Virginia,Upshur,Buckhannon,WEST VIRGINIA WESLEYAN COLLEGE                                   ,59 COLLEGE AVENUE                                 ,26201,2600,8,2,2016,27,365,7.3,A,5,2,3,0,2015,21.0,395.0,5.3,A,2014,36.0,385.0,9.3,A,38.9927,-80.2282,8560.0,749.0,False,32.2,48.9,51.1,31.7,3.26,34423.0,10.3,48.3,127776.0,525.0,27.0,47.7,8.9,93.6,5.1,0.4,0.6,0.0,0.0,0.4
3831,WV,West Virginia,Ohio,Wheeling,WHEELING JESUIT UNIVERSITY                                       ,316 WASHINGTON AVENUE                             ,26003,6243,8,2,2016,19,474,4.0,A,5,1,3,0,2015,30.0,552.0,5.4,A,2014,28.0,462.0,6.0,A,40.0751,-80.6951,77206.0,758.0,False,45.0,48.0,52.0,41.9,2.94,41171.0,16.3,63.2,102169.0,548.0,30.3,57.0,5.3,90.9,5.9,0.9,0.2,0.0,0.3,1.8
3832,WI,Wisconsin,Milwaukee,Milwaukee,ALVERNO COLLEGE                                                  ,3400 SOUTH 43RD STREET                            ,53234,3922,8,2,2016,59,839,7.0,A,5,4,5,0,2015,75.0,902.0,8.3,A,2014,73.0,929.0,7.8,A,43.0642,-87.9673,1377808.0,2389.0,False,31.3,48.1,51.9,30.1,3.37,38289.0,12.1,41.9,115152.0,1061.0,23.8,65.0,9.0,45.8,38.9,4.0,0.5,0.0,6.8,3.9
3835,WI,Wisconsin,Rock,Beloit,BELOIT COLLEGE                                                   ,700 COLLEGE STREET                                ,53511,5595,6,2,2016,10,287,3.4,A,5,1,5,0,2015,7.0,275.0,2.5,A,2014,15.0,267.0,5.6,A,42.523,-89.0184,63498.0,819.0,False,33.8,47.7,52.3,39.5,3.11,38930.0,10.9,57.6,85292.0,825.0,16.6,62.1,10.3,74.3,13.3,1.2,0.2,0.0,5.5,5.4
