opeid,stateabv,state,county,city,name,address,zipcode,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,region,lat,lng,population,density,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3309,PA,Pennsylvania,Philadelphia,Philadelphia,PEIRCE COLLEGE                                                   ,1420 PINE STREET                                  ,19102,8,2,2016,115,879,13,A,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3313,PA,Pennsylvania,Delaware,Chester,WIDENER UNIVERSITY                                               ,ONE UNIVERSITY PLACE                              ,19013,8,2,2016,69,1718,4,P,5,3,39.8456,-75.3719,34077,2722,30.2,48.6,51.4,16.3,3.48,29954,6.5,37.2,69452,657,10.6,54.3,18.1,20.1,70.3,0.8,0.3,0,5.4,3.1
3315,PA,Pennsylvania,Columbia,Bloomsburg,BLOOMSBURG UNIVERSITY OF PENNSYLVANIA                            ,400 EAST SECOND STREET                            ,17815,8,1,2016,181,2578,7,A,5,3,41.0026,-76.4561,51356,1263,22.6,46.5,53.5,21.1,2.91,32112,9.9,34,127148,912,22.9,44.1,5.9,91.7,4.9,2.5,0,0,0.3,0.5
3316,PA,Pennsylvania,Washington,California,CALIFORNIA UNIVERSITY OF PENNSYLVANIA                            ,250 UNIVERSITY AVENUE                             ,15419,8,1,2016,222,2975,7.4,A,5,3,40.0692,-79.9152,6364,223,25.1,45.2,54.8,31.6,3.02,36127,22.6,57.1,108038,640,31.4,57.3,12.6,91.2,5.1,1.1,0.2,0,0,2.4
3318,PA,Pennsylvania,Clarion,Clarion,CLARION UNIVERSITY OF PENNSYLVANIA                               ,840 WOOD STREET                                   ,16214,8,1,2016,141,1644,8.5,P,5,3,41.2106,-79.3803,9424,1300,24.6,42.9,57.1,27.7,2.98,31343,9.9,33.7,118026,603,49,56.4,10.3,94.6,1.5,1.6,0,0,0.2,2.1
3320,PA,Pennsylvania,Monroe,East Stroudsburg,EAST STROUDSBURG UNIVERSITY OF PENNSYLVANIA                      ,200 PROSPECT STREET                               ,18301,8,1,2016,161,1983,8.1,A,5,3,41.0023,-75.1779,56771,1396,29.2,47.9,52.1,31.9,3.26,48247,17.6,50.1,150039,1235,28.2,62.4,15.6,75.5,14,1.7,0.1,0.1,2.7,5.9
3321,PA,Pennsylvania,Erie,Edinboro,EDINBORO UNIVERSITY OF PENNSYLVANIA                              ,MEADVILLE STREET                                  ,16444,8,1,2016,210,2232,9.4,A,5,3,41.8762,-80.1247,6729,1006,22.6,48.4,51.6,25.5,3.09,38214,14.1,41.5,157709,824,46.8,61.5,6.2,88.1,4.2,2.9,0,0,2.2,2.6
3322,PA,Pennsylvania,Berks,Kutztown,KUTZTOWN UNIVERSITY OF PENNSYLVANIA                              ,15200 KUTZTOWN ROAD                P O BOX 730    ,19530,8,1,2016,190,2721,6.9,A,5,3,40.5212,-75.7772,10095,1220,33.4,44.3,55.7,40.8,2.96,50441,17.4,54.3,164994,1236,36.8,57.8,7.4,92.2,2.4,1.4,0,0,0,4
3323,PA,Pennsylvania,Clinton,Lock Haven,LOCK HAVEN UNIVERSITY OF PENNSYLVANIA                            ,401 NORTH FAIRVIEW STREET                         ,17745,8,1,2016,130,1639,7.9,A,5,3,41.1365,-77.4521,16855,1435,23.9,47.5,52.5,26.6,3.14,31158,7,35.6,104903,789,20.7,56.3,7.9,93.3,2.9,0.9,0.4,0,0.1,2.4
3324,PA,Pennsylvania,Tioga,Mansfield,MANSFIELD UNIVERSITY OF PENNSYLVANIA                             ,ACADEMY STREET                                    ,16933,8,1,2016,71,832,8.5,A,5,3,41.8062,-77.0787,3553,635,32.4,48.8,51.2,33.8,3.03,43594,15.7,46.7,151512,817,40.1,61.8,5.3,93.7,1.4,2,0,0,2.1,0.7
3325,PA,Pennsylvania,Lancaster,Millersville,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA                          ,101 NORTH GEORGE STREET            BIEMESDERFER EX,17551,8,1,2016,158,2264,6.9,A,5,3,40.0047,-76.3522,8353,1668,22.8,45.8,54.2,28.6,2.91,41076,17.4,56,160868,892,41.3,60.7,6.1,88.8,4.7,2.9,0.1,0.3,1,2.2
3326,PA,Pennsylvania,Cumberland,Shippensburg,SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA                          ,1871 OLD MAIN DRIVE                               ,17257,8,1,2016,138,2006,6.8,A,5,3,40.0485,-77.5227,17265,1080,32.6,48.8,51.2,37.3,2.71,32429,13.9,39.5,143386,832,29.8,66.5,4,90.8,3.3,0.1,0,0,2.7,3.1
3327,PA,Pennsylvania,Butler,Slippery Rock,SLIPPERY ROCK UNIVERSITY                                         ,1 MORROW WAY                                      ,16057,8,1,2016,124,2489,4.9,A,5,3,41.0695,-80.058,6578,833,21.9,44.5,55.5,15.4,2.83,40118,18.3,31.7,161093,983,36,60.2,5.2,94.1,0.9,2,0,0,0,3
3328,PA,Pennsylvania,Chester,West Chester,WEST CHESTER UNIVERSITY OF PENNSYLVANIA                          ,700 S. HIGH STREET                                ,19383,8,1,2016,186,3769,4.9,A,5,3,39.9601,-75.6058,20060,4195,23.8,47.7,52.3,21,2.93,55313,27.8,37.6,338799,1493,56.5,70.5,5.7,82.5,9.8,2.1,0.1,0,2.9,2.4
3350,PA,Pennsylvania,Philadelphia,Philadelphia,UNIVERSITY OF THE ARTS (THE)                                     ,320 SOUTH BROAD STREET                            ,19102,8,2,2016,44,531,8.2,P,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3351,PA,Pennsylvania,Bucks,Langhorne,CAIRN UNIVERSITY                                                 ,200 MANOR AVENUE                                  ,19047,8,2,2016,21,278,7.5,A,5,3,40.1777,-74.9212,1596,1252,52.4,50.1,49.9,44.7,3.12,83583,39.7,60.4,350596,1864,35.6,56.1,3.9,93.8,3.5,0.8,0,0,0,1.9
