OPEID,Name,Address,City,State,StateDesc,ZipCode,ZipExt,ProgLength,SchoolType,Year1,Num1,Denom1,DRate1,PRate1,EthnicCode,CongDis,Region,AverageorGreaterthan30,Year2,Num2,Denom2,DRate2,PRate2,Year3,Num3,Denom3,DRate3,PRate3
2165,MCPHS UNIVERSITY                                                 ,179 LONGWOOD AVENUE                               ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,5804,8,Private,2016,28,1759,1.5,P,5,8,1,0,2015,33.0,1633.0,2.0,P,2014,26.0,1475.0,1.7,P
2167,BERKSHIRE COMMUNITY COLLEGE                                      ,1350 WEST STREET                                  ,PITTSFIELD          ,MA,MASSACHUSETTS                                               ,1201,5786,5,Public,2016,50,426,11.7,A,5,1,1,0,2015,84.0,467.0,17.9,A,2014,101.0,535.0,18.8,A
2168,CAPE COD COMMUNITY COLLEGE                                       ,2240 IYANNOUGH ROAD                               ,WEST BARNSTABLE     ,MA,MASSACHUSETTS                                               ,2668,1599,5,Public,2016,45,299,15.0,A,5,10,1,0,2015,47.0,317.0,14.8,A,2014,57.0,391.0,14.5,A
2169,GREENFIELD COMMUNITY COLLEGE                                     ,1 COLLEGE DRIVE                                   ,GREENFIELD          ,MA,MASSACHUSETTS                                               ,1301,9739,5,Public,2016,43,360,11.9,A,5,1,1,0,2015,60.0,427.0,14.0,A,2014,74.0,455.0,16.2,A
2170,HOLYOKE COMMUNITY COLLEGE                                        ,303 HOMESTEAD AVENUE                              ,HOLYOKE             ,MA,MASSACHUSETTS                                               ,1040,1099,5,Public,2016,200,1306,15.3,A,5,1,1,0,2015,164.0,1236.0,13.2,A,2014,233.0,1305.0,17.8,A
2171,MASSACHUSETTS BAY COMMUNITY COLLEGE                              ,50 OAKLAND STREET                                 ,WELLESLEY HILLS     ,MA,MASSACHUSETTS                                               ,2481,5399,5,Public,2016,81,607,13.3,A,5,4,1,0,2015,106.0,834.0,12.7,A,2014,86.0,770.0,11.1,A
2172,MOUNT WACHUSETT COMMUNITY COLLEGE                                ,444 GREEN STREET                                  ,GARDNER             ,MA,MASSACHUSETTS                                               ,1440,1000,5,Public,2016,144,1007,14.2,A,5,1,1,0,2015,154.0,1098.0,14.0,A,2014,172.0,1047.0,16.4,A
2173,NORTH SHORE COMMUNITY COLLEGE                                    ,1 FERNCROFT ROAD                                  ,DANVERS             ,MA,MASSACHUSETTS                                               ,1923,4093,5,Public,2016,150,1207,12.4,P,5,6,1,0,2015,166.0,1303.0,12.7,P,2014,179.0,1251.0,14.3,P
2174,NORTHERN ESSEX COMMUNITY COLLEGE                                 ,100 ELLIOTT STREET                                ,HAVERHILL           ,MA,MASSACHUSETTS                                               ,1830,2399,5,Public,2016,149,1104,13.4,A,3,5,1,0,2015,160.0,1111.0,14.4,A,2014,171.0,1226.0,13.9,A
2175,QUINSIGAMOND COMMUNITY COLLEGE                                   ,670 WEST BOYSTON STREET                           ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1606,2092,5,Public,2016,305,2060,14.8,A,5,3,1,0,2015,365.0,2434.0,14.9,A,2014,282.0,2033.0,13.8,A
2176,BRISTOL COMMUNITY COLLEGE                                        ,777 ELSBREE STREET                                ,FALL RIVER          ,MA,MASSACHUSETTS                                               ,2720,7399,5,Public,2016,232,1501,15.4,A,5,4,1,0,2015,202.0,1486.0,13.5,A,2014,218.0,1457.0,14.9,A
2177,MASSASOIT COMMUNITY COLLEGE                                      ,ONE MASSASOIT BOULEVARD                           ,BROCKTON            ,MA,MASSACHUSETTS                                               ,2302,3996,5,Public,2016,125,970,12.8,A,5,10,1,0,2015,105.0,890.0,11.7,A,2014,117.0,809.0,14.4,A
2178,MASSACHUSETTS INSTITUTE OF TECHNOLOGY                            ,77 MASSACHUSETTS AVENUE                           ,CAMBRIDGE           ,MA,MASSACHUSETTS                                               ,2139,4307,8,Private,2016,4,603,0.6,P,5,8,1,0,2015,7.0,648.0,1.0,P,2014,7.0,724.0,0.9,P
2180,MASSACHUSETTS COLLEGE OF ART AND DESIGN                          ,621 HUNTINGTON AVENUE                             ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,5803,8,Public,2016,25,421,5.9,A,5,8,1,0,2015,24.0,490.0,4.8,A,2014,15.0,426.0,3.5,A
2181,MASSACHUSETTS MARITIME ACADEMY                                   ,101 ACADEMY DRIVE                                 ,BUZZARDS BAY        ,MA,MASSACHUSETTS                                               ,2532,3400,8,Public,2016,3,315,0.9,A,5,10,1,0,2015,7.0,348.0,2.0,A,2014,10.0,328.0,3.0,A
2183,BRIDGEWATER STATE UNIVERSITY                                     ,131 SUMMER STREET                                 ,BRIDGEWATER         ,MA,MASSACHUSETTS                                               ,2325,1,8,Public,2016,157,2713,5.7,A,5,4,1,0,2015,147.0,2757.0,5.3,A,2014,149.0,2660.0,5.6,A
2184,FITCHBURG STATE UNIVERSITY                                       ,160 PEARL STREET                                  ,FITCHBURG           ,MA,MASSACHUSETTS                                               ,1420,2697,8,Public,2016,78,1184,6.5,A,5,1,1,0,2015,75.0,1174.0,6.3,A,2014,63.0,1056.0,5.9,A
2185,FRAMINGHAM STATE UNIVERSITY                                      ,100 STATE STREET                                  ,FRAMINGHAM          ,MA,MASSACHUSETTS                                               ,1702,2471,8,Public,2016,64,1179,5.4,A,5,7,1,0,2015,55.0,1192.0,4.6,A,2014,48.0,1131.0,4.2,A
2187,MASSACHUSETTS COLLEGE OF LIBERAL ARTS                            ,375 CHURCH STREET                                 ,NORTH ADAMS         ,MA,MASSACHUSETTS                                               ,1247,4100,8,Public,2016,35,487,7.1,A,5,1,1,0,2015,37.0,500.0,7.4,A,2014,41.0,519.0,7.8,A
2188,SALEM STATE UNIVERSITY                                           ,352 LAFAYETTE STREET               NORTH CAMPUS   ,SALEM               ,MA,MASSACHUSETTS                                               ,1970,5353,8,Public,2016,160,2160,7.4,A,5,6,1,0,2015,136.0,2096.0,6.4,A,2014,151.0,2068.0,7.3,A
2189,WESTFIELD STATE UNIVERSITY                                       ,577 WESTERN AVENUE                                ,WESTFIELD           ,MA,MASSACHUSETTS                                               ,1086,1630,8,Public,2016,81,1653,4.9,A,5,1,1,0,2015,66.0,1712.0,3.8,A,2014,68.0,1526.0,4.4,A
2190,WORCESTER STATE UNIVERSITY                                       ,486 CHANDLER STREET                               ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1602,2597,8,Public,2016,79,1322,5.9,A,5,3,1,0,2015,69.0,1295.0,5.3,A,2014,71.0,1249.0,5.6,A
2192,MOUNT HOLYOKE COLLEGE                                            ,50 COLLEGE STREET                                 ,SOUTH HADLEY        ,MA,MASSACHUSETTS                                               ,1075,1492,8,Private,2016,7,423,1.6,A,5,2,1,0,2015,3.0,388.0,0.7,A,2014,5.0,437.0,1.1,A
2194,NEW ENGLAND CONSERVATORY OF MUSIC                                ,290 HUNTINGTON AVENUE                             ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,5018,8,Private,2016,1,130,0.7,A,5,8,1,0,2015,4.0,151.0,2.6,A,2014,5.0,157.0,3.1,A
2197,NICHOLS COLLEGE                                                  ,CENTER ROAD                                       ,DUDLEY              ,MA,MASSACHUSETTS                                               ,1571,6346,8,Private,2016,29,444,6.5,P,5,2,1,0,2015,34.0,442.0,7.6,P,2014,36.0,488.0,7.3,P
2199,NORTHEASTERN UNIVERSITY                                          ,360 HUNTINGTON AVENUE                             ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,5000,8,Private,2016,98,4771,2.0,A,5,9,1,0,2015,132.0,5330.0,2.4,A,2014,127.0,5315.0,2.3,A
2201,PINE MANOR COLLEGE                                               ,400 HEATH STREET                                  ,CHESTNUT HILL       ,MA,MASSACHUSETTS                                               ,2467,2332,8,Private,2016,29,123,23.5,A,5,4,1,0,2015,18.0,108.0,16.6,A,2014,23.0,128.0,17.9,A
2205,QUINCY COLLEGE                                                   ,1250 HANCOCK STREET                               ,QUINCY              ,MA,MASSACHUSETTS                                               ,2169,4339,5,Public,2016,122,1131,10.7,A,5,10,1,0,2015,136.0,958.0,14.1,A,2014,121.0,906.0,13.3,A
2206,REGIS COLLEGE                                                    ,235 WELLESLEY STREET                              ,WESTON              ,MA,MASSACHUSETTS                                               ,2493,1571,8,Private,2016,26,532,4.8,A,5,7,1,0,2015,28.0,533.0,5.2,A,2014,22.0,467.0,4.7,A
2208,SIMMONS UNIVERSITY                                               ,300 THE FENWAY                                    ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,5898,8,Private,2016,32,1503,2.1,A,5,8,1,0,2015,26.0,1336.0,1.9,A,2014,20.0,1324.0,1.5,A
2209,SMITH COLLEGE                                                    ,10 ELM STREET                                     ,NORTHAMPTON         ,MA,MASSACHUSETTS                                               ,1063,2936,8,Private,2016,8,600,1.3,A,5,2,1,0,2015,12.0,631.0,1.9,A,2014,8.0,682.0,1.1,A
