opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,proprietary,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1047,0.1208577,0.545532118,0.527313067,0.564728884,0.7428619959999999,0.749263555,0.717138097,0.48700824600000003,0.330818966,0.462606251,0.41114498200000005,0.454354669,0.364628674,0.28384524899999997,0.595472051,0.504839157,0.551759404,0.35579514799999995,0.375720987,0.7,0.35489658399999996,0.8165428290000001,0.326119733,0.660958904,0.02405173,0.0,0.51417004,0.325763737,0.607512535,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1051,0.175438596,0.412146881,0.395341635,0.42915448700000003,0.71804465,0.7319276990000001,0.7152807090000001,0.58970506,0.36637931,0.45927713700000006,0.431907614,0.445960126,0.41683554,0.395854165,0.649170341,0.561242211,0.526391751,0.382749326,0.572111656,0.7,0.291340036,0.830477925,0.202660068,0.8304794520000001,0.161973219,0.003816794,0.504048583,0.45436426,0.593362341,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1052,0.31384015600000004,0.412146881,0.418520254,0.451420145,0.697034025,0.705468449,0.686920057,0.575684368,0.25,0.42540375700000005,0.422563984,0.43441762899999997,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.7,0.136694484,0.933738684,0.227508995,0.8304794520000001,0.231227952,0.0,0.236842105,0.36198785,0.657635681,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1055,0.33723196899999996,0.402220914,0.46114325700000003,0.458400834,0.611241507,0.617019949,0.587141467,0.521687334,0.421336207,0.372494661,0.441102669,0.558237146,0.41325433899999997,0.46466352899999996,0.73660923,0.46146037,0.515242971,0.544474394,0.633861286,0.7,0.29789139800000003,0.753853896,0.342192007,0.7652792409999999,0.21018642199999998,0.003816794,0.6184210529999999,0.410911753,0.565836498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1057,0.333333333,0.478486836,0.485514881,0.5317793439999999,0.688402052,0.699393975,0.679787547,0.5692132560000001,0.275862069,0.475820116,0.43005100399999996,0.535152151,0.330458876,0.375951915,0.633554973,0.5342670860000001,0.528649554,0.452830189,0.636221881,0.7,0.230988634,0.8584883729999999,0.28124038100000004,0.9075342470000001,0.133905189,0.0,0.447368421,0.39604382,0.584498228,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1060,0.255360624,0.660713632,0.64362663,0.695015658,0.6026411220000001,0.608318155,0.569513296,0.45928009200000003,0.140086207,0.6840133159999999,0.49851045899999996,0.466946485,0.339479315,0.292349117,0.571939901,0.644034361,0.447079846,0.42722372,0.315821623,0.4,0.07824930599999999,0.817056164,0.239134147,0.7093933459999999,0.231227952,0.0,0.5435222670000001,0.320222377,0.47907395700000005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1071,0.23196881100000002,0.627483492,0.6812719770000001,0.702510795,0.498323705,0.49584145399999996,0.432410395,0.505248486,0.160560345,0.452587681,0.488458901,0.579223505,0.341909234,0.42450389200000005,0.630843721,0.47535091100000004,0.458817026,0.6563342320000001,0.5627942220000001,0.4,0.247606987,0.32285712899999996,0.42846719,0.491438356,0.7584905190000001,0.0,0.7034412959999999,0.432826816,0.643559996,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1072,0.286549708,0.424711506,0.45326315,0.487497589,0.465215696,0.479633608,0.414413221,0.38451145700000006,0.30387931,0.35793240299999995,0.441102669,0.529905561,0.428749189,0.5072362229999999,0.71888107,0.488929186,0.515242971,0.710242588,0.47512654600000004,0.4,0.37428764299999995,0.44761505100000004,0.5539883729999999,0.425104229,0.349834386,0.030534351,0.773279352,0.466430164,0.562595534,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1076,0.278752437,0.6637726820000001,0.651268497,0.675171823,0.681221153,0.67193338,0.640348605,0.6990719209999999,0.203663793,0.570043041,0.45373912,0.5194123820000001,0.42794504,0.447559758,0.6883047090000001,0.464264506,0.500016922,0.5336927220000001,0.613722001,0.4,0.387838543,0.43017290799999996,0.450330843,0.374077977,0.46446668799999996,0.007633588,0.7793522270000001,0.49129584600000004,0.531510421,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1077,0.317738791,0.686804509,0.649112469,0.6819724690000001,0.711661001,0.703498563,0.673171133,0.682416177,0.254310345,0.498558956,0.460841902,0.582371459,0.431133736,0.466162409,0.692491457,0.452966873,0.491510061,0.595687332,0.6756305890000001,0.4,0.255491064,0.337230061,0.385410869,0.29109589,0.439210411,0.015267176,0.8360323890000001,0.46948413,0.52029019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1078,0.26705653,0.750952416,0.67269894,0.6962814009999999,0.6724140540000001,0.658403046,0.622352868,0.666597231,0.27262931,0.576039188,0.46786256200000004,0.511017838,0.44953366,0.465672236,0.706560492,0.41003093399999996,0.48313985600000003,0.517520216,0.862188464,0.4,0.35489658399999996,0.450391018,0.42271645399999996,0.321917808,0.6413787710000001,0.007633588,0.715587045,0.504375575,0.5526300470000001,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1081,0.17933723199999999,0.442289713,0.436587303,0.468501349,0.8153098520000001,0.829990575,0.832733672,0.7118946359999999,0.442887931,0.43567880700000006,0.516542627,0.37145855200000005,0.491588897,0.464026638,0.703618865,0.361675085,0.42625581799999995,0.362533693,0.588252111,0.7,0.508383687,0.43906844700000003,0.439617711,0.28203062,0.605114068,0.015267176,0.683198381,0.48403823,0.5004754770000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1083,0.269005848,0.442289713,0.415357,0.461815659,0.735367848,0.748610497,0.7386534229999999,0.627650049,0.259698276,0.43908202,0.46786256200000004,0.467995803,0.359075563,0.372504479,0.582327803,0.47397626200000004,0.48313985600000003,0.43530997299999996,0.72515023,0.7,0.328136292,0.390443133,0.484827954,0.22504892399999998,0.6185164479999999,0.007633588,0.727732794,0.40869524100000004,0.6261432920000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1085,0.202729045,0.654462841,0.635705364,0.648937329,0.595287517,0.601045079,0.561603483,0.518648111,0.21551724100000003,0.397511379,0.43927520700000006,0.535152151,0.275168895,0.28981579,0.459338384,0.557626208,0.517454223,0.47574124,0.326862092,0.7,0.0,0.801655351,0.189333043,1.0,0.19896892300000002,0.0,0.587044534,0.21877691600000002,0.668824605,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
