opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log
41272,0.270955166,0.361357155,0.283488333,0.5240816,0.379316873,0.361121562,0.265432111,0.660166372,0.22737069,0.501768282,0.466114941,0.600209864,0.430491583,0.480642809,0.698629054,0.467055445,0.485219776,0.629380054,0.608627468,0.2,0.263116599,0.25346273,0.470573423,0.581184529,0.683382337,0.003816794,0.760121457,0.475895276,0.542278705
41277,0.28460039,0.289266783,0.310952774,0.283349204,0.503498184,0.539165628,0.489705407,0.634564636,0.280172414,0.530227226,0.450156018,0.555089192,0.486655795,0.504352685,0.714221871,0.326594192,0.504322649,0.578167116,0.648796951,0.7,0.452536949,0.613507014,0.502745841,0.547945205,0.620682574,0.011450382,0.607287449,0.558182907,0.52029019
41279,0.43079922,0.305731339,0.335324398,0.395790692,0.560764346,0.572974822,0.566623718,0.766923681,0.413793103,0.536449973,0.444740646,0.655823715,0.704188705,0.653305286,0.860091598,0.450108017,0.510847823,0.679245283,0.470713988,0.7,0.81802222,0.350713358,0.450330843,0.618578767,0.349834386,0.015267176,0.545546559,0.730270651,0.45580918
41280,0.40545809,0.571828476,0.531081494,0.676547632,0.370914207,0.36456857,0.276409034,0.666597231,0.418103448,0.455937635,0.466114941,0.603357817,0.61482811,0.625667546,0.836217992,0.332026604,0.485219776,0.606469003,0.451964602,0.2,0.480665445,0.430172908,0.227508995,1,0.343445382,0,0.824898785,0.648060626,0.470009486
41284,0.495126706,0.353022317,0.277551548,0.268511479,0.51134603,0.516611948,0.432410395,0.72111732,0.328663793,0.579024711,0.418783284,0.55613851,0.578111583,0.505878886,0.752248406,0.384808007,0.542397707,0.614555256,0.36231405,0.7,0.19369967,0.239399111,0.071664757,1,0.231227952,0,0.948380567,0.686030513,0.39614589
41288,0.543859649,0.483197436,0.523477939,0.617686718,0.301473304,0.309351038,0.224942294,0.562597,0.434267241,0.368872629,0.426319728,0.671563484,0.547356959,0.59155758,0.820340186,0.392821204,0.533193681,0.623989218,0.42151703,0.2,0.396452787,0.171813107,0.250284668,0.907534247,0.220926433,0,0.91194332,0.638575392,0.531510421
41294,0.37037037,0.490076714,0.380891011,0.536775872,0.321446443,0.313573916,0.346501359,0.614879205,0.49137931,0.376104477,0.422563984,0.469045121,0.483073791,0.426806218,0.673005432,0.426707765,0.537776235,0.5,0.63372796,0.1,0.255491064,0.558929299,0.334274065,0.765279241,0.102319999,0,0.826923077,0.47998806,0.450903055
41298,0.251461988,0.57943203,0.559078971,0.684639085,0.46393614,0.495124844,0.448388058,0.693321466,0.313577586,0.533343122,0.464362319,0.386149003,0.393143224,0.43277231,0.696601732,0.376667795,0.487308083,0.491913747,0.892270302,0.4,0.344558971,0.704026077,0.349886877,0.765279241,0.545919253,0,0.613360324,0.501584553,0.516442983
41299,0.124756335,0.698327993,0.742670679,0.608729945,0.345907757,0.37710115,0.340533535,0.619581738,0.4375,0.445856153,0.435603068,0.357817419,0.38004721,0.320464245,0.578918173,0.542967585,0.521904367,0.288409704,0.595001915,0.1,0.480665445,0.683256992,0.42846719,0.765279241,0.161973219,0.003816794,0.655870445,0.400155393,0.581476995
41302,0.243664717,0.661738122,0.582400283,0.715665746,0.417776384,0.411661519,0.361031823,0.773072715,0.493534483,0.449227209,0.481668503,0.447009444,0.477432704,0.488684007,0.746612266,0.268202571,0.466796453,0.41509434,0.832733436,0.5,0.452536949,0.651709117,0.484827954,0.445205479,0.447913072,0,0.634615385,0.587896211,0.52029019
41304,0.311890838,0.593882655,0.445085611,0.252683862,0.345907757,0.390532569,0.337856521,0.675222468,0.363146552,0.469233575,0.441102669,0.457502623,0.443245045,0.439618491,0.71888107,0.422209597,0.515242971,0.455525606,0.828947026,0.2,0.383408733,0.703163064,0.404700046,0.765279241,0.323246432,0.003816794,0.647773279,0.511608129,0.590440167
41305,0.26705653,0,0,0,0.371890702,0.357527829,0.312015288,0.674953962,0.170258621,0.52082474,0.459074017,0.517313746,0.399882456,0.393145942,0.582327803,0.47259847,0.493623835,0.533692722,0.559168384,0.6,0.172543456,0.199669336,0.410838503,0.359589041,0.729391577,0.003816794,0.748987854,0.428625945,0.584498228
41306,0.304093567,0.674633587,0.635705364,0.529241071,0.329886896,0.362286269,0.263472708,0.720815312,0.340517241,0.445856153,0.441102669,0.407135362,0.334670575,0.364210551,0.623919135,0.428199082,0.515242971,0.343665768,0.802419711,0.1,0.328136292,0.846282196,0.309042308,0.765279241,0.161973219,0.003816794,0.45242915,0.44475891,0.626143292
41307,0.323586745,0.563948368,0.58964775,0.631349558,0.324925671,0.328625192,0.257339761,0.681657235,0.301724138,0.551850374,0.399487178,0.599160546,0.412170643,0.571676389,0.740831329,0.384808007,0.56610656,0.57277628,0.393011842,0.1,0.471662076,0.806552422,0.391993111,0.765279241,0.411142381,0,0.456477733,0.541482541,0.559314802
41309,0.282651072,0.58964775,0.547272522,0.5877477,0.389347647,0.435143791,0.385306817,0.634564636,0.293103448,0.504968014,0.441102669,0.511017838,0.335611366,0.413691263,0.647909659,0.395992224,0.515242971,0.469002695,0.777286265,0.2,0.322393828,0.734519112,0.378666085,0.765279241,0.395843626,0,0.613360324,0.437808702,0.590440167
41313,0.364522417,0.344353999,0.529205473,0.490520895,0.329886896,0.307157669,0.253019576,0.448558346,0.226293103,0.465925043,0.431907614,0.555089192,0.298202796,0.329976649,0.557298558,0.556416634,0.526391751,0.522911051,0.349835603,0.2,0.042400334,0.698795975,0.357370903,0.830479452,0.148329239,0,0.720647773,0.223814875,0.691906685
41317,0.257309942,0.35722981,0.373287456,0.461815659,0.586557851,0.584962786,0.569117182,0.64704646,0.232758621,0.590884217,0.448356373,0.575026233,0.333741722,0.41156667,0.638881406,0.476722441,0.506488774,0.568733154,0.722803061,0.5,0.19369967,0.341817819,0.334274065,0.618578767,0.600483623,0.003816794,0.817813765,0.403773995,0.552630047
41326,0.249512671,0.707621697,0.722791434,0.791665857,0.373810083,0.358742814,0.299326108,0.661380598,0.380387931,0.393973163,0.473075847,0.551941238,0.393754426,0.472208341,0.703618865,0.322936293,0.476949914,0.567385445,0.626533935,0.3,0.400643134,0.367483974,0.398420463,0.618578767,0.250649237,0.003816794,0.851214575,0.484404345,0.435620252
41328,0.315789474,0.283488333,0.468746811,0.507893988,0.30369982,0.39135638,0.312015288,0.667173359,0.290948276,0.376104477,0.448356373,0.524658972,0.409250699,0.414140466,0.641498078,0.49427765,0.506488774,0.528301887,0.657182999,0.1,0.310465162,0.260168196,0.523607108,0.346135029,0.198968923,0.030534351,0.851214575,0.466430164,0.538737246
41329,0.153996101,0.653403284,0.570275214,0.670995886,0.301473304,0.348495106,0.321072394,0.654753607,0.548491379,0.390423211,0.459074017,0.427072403,0.43195182,0.446966052,0.704603686,0.358280705,0.493623835,0.428571429,0.531375871,0.2,0.449190734,0.371482444,0.489418815,0.273483366,0.210186422,0,0.805668016,0.514328398,0.445905223
41333,0.263157895,0.673668423,0.696594551,0.792508936,0.355888508,0.323290367,0.255204217,0.568098961,0.338362069,0.379702159,0.433758284,0.511017838,0.369531428,0.393032631,0.622508277,0.49427765,0.524143375,0.452830189,0.480160749,0.2,0.277656207,0.594427669,0.326119733,0.830479452,0.066208191,0,0.803643725,0.392815611,0.52029019
