proprietary,opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1,26213,0.16374269,0.603453633,0.607429507,0.706171428,0.321446443,0.321434469,0.253019576,0.631093331,0.58512931,0.309188348,0.510042787,0.41343127,0.557343715,0.446412836,0.684038585,0.28458092,0.433726841,0.428571429,0.479118135,0.3,0.277656207,0.102418708,0.334274065,0.445205479,0.08490949800000001,0.0,0.930161943,0.568046591,0.4834935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1475,0.401559454,0.659684276,0.583869299,0.322995532,0.6939135040000001,0.687932331,0.651119308,0.5372658810000001,0.209051724,0.41502911,0.469605226,0.409233998,0.33905817200000005,0.279342858,0.508967401,0.590669161,0.481068273,0.366576819,0.499685165,0.5,0.304263248,0.772871682,0.342192007,0.8304794520000001,0.323246432,0.0,0.577935223,0.313466833,0.604741772,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,21822,0.220272904,0.728122998,0.75761999,0.7874049479999999,0.365852695,0.367880365,0.257339761,0.710911215,0.38362069,0.455937635,0.416883418,0.34102833200000005,0.416604732,0.406616775,0.669587169,0.465661613,0.5447231929999999,0.284366577,0.69201015,0.2,0.494937284,0.738966418,0.5154527760000001,0.7652792409999999,0.33689041200000003,0.0,0.5455465589999999,0.5283058389999999,0.559314802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,6787,0.17153996100000002,0.626283051,0.57943203,0.758158601,0.530667499,0.5211382170000001,0.47487355,0.692167492,0.310344828,0.301488247,0.442924465,0.343126967,0.381449234,0.404173353,0.638881406,0.5404932689999999,0.513040856,0.342318059,0.424172579,0.4,0.328136292,0.367483974,0.378666085,0.8304794520000001,0.277237192,0.0,0.87145749,0.489494097,0.487841177,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,9903,0.34502924,0.7362448,0.607429507,0.621176873,0.485667015,0.410362417,0.276409034,0.597964857,0.115301724,0.495339978,0.356561561,0.391395593,0.276326646,0.232385053,0.494444217,0.59641128,0.619402985,0.332884097,0.391950832,0.4,0.172543456,0.905582096,0.2609978,0.25777489800000003,0.08490949800000001,0.003816794,0.30566801600000004,0.277185687,0.7683229840000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2858,0.536062378,0.421637992,0.384595016,0.436810838,0.5935994410000001,0.59868588,0.575487996,0.7773969759999999,0.399784483,0.401037937,0.457300956,0.652675761,0.6063429929999999,0.63114331,0.8484712409999999,0.432649267,0.495746201,0.6415094339999999,0.321470018,0.7,0.521094937,0.355028558,0.227508995,0.8304794520000001,0.416042577,0.0,0.816801619,0.7650405809999999,0.334959085,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1939,0.290448343,0.47122317,0.418520254,0.475003847,0.5305224270000001,0.538018717,0.498945435,0.6363247129999999,0.292025862,0.475820116,0.4590740170000001,0.578174187,0.335937728,0.44478255,0.675255763,0.406943013,0.493623835,0.58490566,0.673217783,0.7,0.416687977,0.5450890629999999,0.450330843,0.518204758,0.368084662,0.0,0.75,0.417486506,0.527822414,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1322,0.300194932,0.258698005,0.283488333,0.34058330299999995,0.611075689,0.620187861,0.593307244,0.613673346,0.384698276,0.5271022329999999,0.426319728,0.554039874,0.5832584820000001,0.5612805270000001,0.7968265409999999,0.520359318,0.533193681,0.5512129379999999,0.504124488,0.7,0.505755885,0.466342806,0.511282468,0.618578767,0.505077815,0.015267176,0.715587045,0.636105562,0.549223934,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,41714,0.33528265100000004,0.550711944,0.585328423,0.7097764540000001,0.441091413,0.444817788,0.41112189,0.717440572,0.492456897,0.397511379,0.462604654,0.511017838,0.587145725,0.5224798829999999,0.7638705029999999,0.351419974,0.489404828,0.509433962,0.8013271240000001,0.3,0.505755885,0.414489129,0.511282468,0.547945205,0.301288922,0.022900763,0.771255061,0.634367303,0.542278705,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,42135,0.235867446,0.836994992,0.83052648,0.874278511,0.286701469,0.362286269,0.295163646,0.7385139559999999,0.231681034,0.475820116,0.448356373,0.333683106,0.232839669,0.303447847,0.539601396,0.468446024,0.506488774,0.270889488,0.7075680670000001,0.1,0.339212575,0.812915223,0.465651672,0.491438356,0.395843626,0.0,0.45951417,0.394202411,0.685806582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
